gene_id	transcript_id(s)	Control_R1	Control_R2	Control_R3	Control_R4	DPN_R1	DPN_R2	DPN_R3	DPN_R4	OHT_R1	OHT_R2	OHT_R3	OHT_R4
ST3GAL2	NM_006927.3	536.00	284.00	490.00	509.00	512.00	419.00	1199.00	1031.00	469.00	345.00	551.00	1149.00
ST3GAL3	NM_001270459.1,NM_001270460.1,NM_001270461.1,NM_001270462.1,NM_001270463.1,NM_001270464.1,NM_001270465.1,NM_001270466.1,NM_006279.3,NM_174963.3,NM_174964.2,NM_174965.2,NM_174966.2,NM_174967.2,NM_174968.3,NM_174969.2,NM_174970.2,NM_174971.3,XM_006710825.1,XM_006710826.1,XM_006710827.1,XM_006710828.1,XM_006710829.1,XM_006710830.1,XM_006710831.1,XM_006710832.1,XM_006710833.1,rna2441,rna2442,rna2443,rna2447,rna2453,rna2458,rna2459	46.00	88.00	113.00	57.00	31.00	88.00	159.00	103.00	27.00	77.00	63.00	148.00
ST3GAL4	NM_001254757.1,NM_001254758.1,NM_001254759.1,NM_006278.2,XM_005271649.2,XM_005271650.1,XM_005271651.1,XM_006718896.1,XM_006718897.1	109.00	21.00	77.00	48.00	104.00	24.00	153.00	84.00	86.00	21.00	80.00	96.00
ST3GAL4-AS1	rna51220	3.00	1.00	2.00	4.00	2.00	1.00	7.00	3.00	2.00	1.00	2.00	3.00
ST3GAL5	NM_001042437.1,NM_003896.3,XM_005264630.2,XM_006712127.1,rna10859,rna10863	12.00	7.00	19.00	14.00	9.00	5.00	31.00	13.00	7.00	13.00	22.00	25.00
ST3GAL6	NM_001271142.1,NM_001271145.1,NM_001271146.1,NM_001271147.1,NM_001271148.1,NM_006100.3,XM_005247067.2,XM_005247068.2,XM_005247069.1,XM_005247070.2,XM_005247071.1,XM_005247072.2,XM_006713474.1,XM_006713475.1,XM_006713476.1,rna17595	43.00	17.00	85.63	39.00	31.00	15.00	142.78	72.00	26.00	15.00	48.00	76.64
ST3GAL6-AS1	rna17587	2.00	0.00	2.37	0.00	2.00	0.00	3.22	1.00	1.00	0.00	2.00	1.36
ST5	NM_005418.3,NM_139157.2,NM_213618.1,XM_005253077.1,XM_005253079.1,XM_005253080.1,XM_005253081.2,XM_005253083.1,XM_005253084.1,XM_006718284.1,XM_006718285.1	780.00	315.00	489.00	453.00	636.00	373.00	997.00	781.00	597.00	350.00	431.00	1024.00
ST6GAL1	NM_003032.2,NM_173216.2,NM_173217.2,XM_005247717.1,XM_005247719.1,XM_005247720.1,XM_006713734.1	3270.49	4149.85	4104.06	2535.19	2167.88	4727.97	8231.08	4865.44	2413.85	4334.89	3247.75	4489.32
ST6GAL2	NM_001142351.1,NM_001142352.1,NM_032528.2,XM_006712801.1,XM_006712802.1	1.00	0.00	15.00	1.00	7.00	1.00	43.00	4.00	7.00	1.00	21.00	5.00
ST6GALNAC1	NM_001289107.1,NM_018414.4,rna71260	0.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
ST6GALNAC2	NM_006456.2,XM_005256954.2	95.00	26.00	24.00	76.00	118.00	40.00	78.00	163.00	87.00	38.00	33.00	230.00
ST6GALNAC3	NM_001160011.1,NM_152996.2,XM_006710553.1,XM_006710554.1,rna3403	20.00	30.00	153.00	18.00	14.00	47.00	266.00	25.00	19.00	54.00	117.00	53.00
ST6GALNAC4	NM_175039.3,NM_175040.3,XM_005251922.1	186.00	160.00	283.00	201.00	182.00	158.00	615.00	396.00	140.00	166.00	242.00	405.00
ST6GALNAC5	NM_030965.1,XM_005271238.1	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
ST6GALNAC6	NM_001286999.1,NM_001287000.1,NM_001287001.1,NM_001287002.1,NM_001287003.1,NM_013443.4,XM_005251952.1,XM_006717088.1,XM_006717089.1,XM_006717090.1,XM_006717091.1,XM_006717092.1,rna41570,rna41578,rna41579	1196.00	727.00	884.00	910.00	1073.00	838.00	1777.00	1575.00	858.00	835.00	753.00	1617.00
ST7	NM_018412.3,NM_021908.2	244.55	186.13	210.20	273.47	223.74	235.65	456.13	424.97	201.29	232.43	213.80	554.03
ST7-AS1	rna34576	10.44	14.80	11.78	13.53	9.25	11.35	18.87	28.01	11.71	11.57	8.20	16.93
ST7-AS2	rna34582,rna34583,rna34584	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ST7-OT3	rna34585	1.01	2.07	1.02	0.00	1.01	0.00	1.00	2.01	0.00	0.00	0.00	3.04
ST7-OT4	rna34579	0.00	0.00	0.00	0.00	0.00	0.00	2.00	3.00	0.00	1.00	0.00	1.00
ST7L	NM_017744.4,NM_138727.3,NM_138728.2,NM_138729.3,XM_005270963.2,XM_005270964.1,XM_005270966.1,XM_005270970.1,XM_006710708.1,XM_006710709.1,rna4286	104.00	152.00	159.00	147.00	65.00	138.00	312.00	272.00	58.00	217.00	121.00	239.00
