gene_id	transcript_id(s)	Control_R1	Control_R2	Control_R3	Control_R4	DPN_R1	DPN_R2	DPN_R3	DPN_R4	OHT_R1	OHT_R2	OHT_R3	OHT_R4
A1BG	NM_130786.3	71.48	34.00	36.63	31.99	83.88	56.00	57.17	60.42	39.49	45.00	31.65	52.70
A1BG-AS1	rna78507	63.70	29.62	25.80	38.89	59.85	40.47	25.48	47.12	48.31	41.22	20.56	77.82
A1CF	NM_001198818.1,NM_001198819.1,NM_001198820.1,NM_014576.3,NM_138932.2,NM_138933.2,XM_005269718.1,XM_005269719.1,XM_005269720.1,XM_006717808.1,XM_006717809.1	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
A2M	NM_000014.4,XM_006719056.1	317.00	148.00	570.00	172.00	291.00	191.00	945.72	295.00	214.77	230.00	574.46	359.00
A2M-AS1	rna51878	3.00	4.00	2.00	0.00	4.00	0.00	5.28	5.00	4.23	2.00	5.54	3.00
A2ML1	NM_001282424.1,NM_144670.4	10.00	6.00	3.00	13.00	4.00	4.00	2.00	26.00	11.00	4.00	1.00	32.00
A2MP1	rna51882	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
A3GALT2	NM_001080438.1	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00
A4GALT	NM_017436.4,XM_005261643.1,XM_005261644.1,XM_005261646.2,XM_005261647.1,XM_005261648.1,XM_006724265.1,XM_006724266.1,XM_006724267.1	22.00	18.00	75.00	31.00	41.00	24.00	152.00	57.00	25.00	24.00	69.00	80.00
A4GNT	NM_016161.2	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
AA06	rna68578	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AAAS	NM_001173466.1,NM_015665.5,XM_006719617.1,XM_006719618.1,XM_006719619.1	374.00	237.00	206.00	227.00	404.00	292.00	431.00	464.00	304.00	288.00	196.00	476.00
AACS	NM_023928.3,XM_005253609.1,XM_005253610.1,XM_005253611.1,rna55618	557.00	530.00	655.00	451.00	558.00	658.00	1435.00	912.00	378.00	587.00	597.00	980.00
AACSP1	rna27035	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AADAC	NM_001086.2,XM_005247103.2,XM_005247104.2	0.00	0.00	2.00	12.00	0.00	0.00	6.00	17.00	1.00	0.00	5.00	9.00
AADACL2	NM_207365.3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AADACL3	NM_001103169.1,NM_001103170.1,XM_006710337.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AADACL4	NM_001013630.1,XM_006710608.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AADAT	NM_001286682.1,NM_001286683.1,NM_016228.3,NM_182662.1,XM_006714231.1	60.00	10.00	14.00	19.00	64.00	19.00	50.00	29.00	49.00	10.00	22.00	48.00
AAED1	NM_153698.1,XM_005251783.2,XM_005251784.2	101.00	61.00	67.00	63.00	94.00	74.00	153.00	129.00	53.00	76.00	67.00	150.00
AAGAB	NM_001271885.1,NM_001271886.1,NM_024666.4,XM_005254664.1,XM_006720683.1	768.00	308.00	787.00	682.00	712.00	341.00	1359.00	1291.00	594.00	381.00	653.00	1359.00
AAK1	NM_014911.3	3819.00	1928.00	1984.00	1500.00	3414.00	2221.00	3360.00	2948.00	2566.00	2467.00	1433.00	3386.00
AAMDC	NM_024684.2,XM_005273938.2	68.00	28.00	26.00	24.00	69.00	43.00	55.00	43.00	65.00	36.00	23.00	50.00
AAMP	NM_001087.3,XM_005246325.1	1290.00	710.00	912.00	900.00	1134.00	837.00	1899.00	1576.00	923.00	801.00	824.00	1745.00
AANAT	NM_001088.2,NM_001166579.1	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
AAR2	NM_001271874.1,NM_015511.4,XM_005260385.2,XM_006723770.1	496.00	270.00	381.00	341.00	439.00	297.00	745.00	586.00	327.00	343.00	337.00	695.00
AARD	NM_001025357.2	0.00	0.00	1.00	0.00	0.00	0.00	3.00	1.00	0.00	0.00	3.00	1.00
AARS	NM_001605.2,XM_006721153.1	3119.00	1978.00	1419.00	1191.00	4701.00	2310.00	2919.00	2456.00	1986.00	2215.00	1319.00	2392.00
AARS2	NM_020745.3,XM_005249245.1,rna29468	389.00	253.00	289.00	221.00	348.00	262.00	598.00	415.00	296.00	223.00	259.00	481.00
AARSD1	NM_001261434.1	248.47	150.90	166.59	145.50	216.65	189.68	358.14	283.83	155.41	151.64	145.20	339.03
AASDH	NM_001286668.1,NM_001286669.1,NM_001286670.1,NM_001286671.1,NM_001286672.1,NM_181806.3,XM_005265721.1,XM_005265724.2,XM_005265726.2,XM_005265727.1	138.00	107.00	95.00	80.00	120.00	151.00	168.00	155.00	117.00	139.00	91.00	121.00
AASDHPPT	NM_015423.2	393.68	316.94	257.94	194.99	381.79	383.62	465.82	304.98	303.76	329.87	235.92	373.94
AASS	NM_005763.3,rna34620,rna34621	206.00	258.00	204.00	112.00	208.00	281.00	384.00	210.00	187.00	322.00	219.00	224.00
AATF	NM_012138.3	537.00	418.00	466.00	422.00	504.00	461.00	877.00	733.00	391.00	522.00	419.00	1015.00
AATK	NM_001080395.2,NM_004920.2,XM_005257855.1,XM_006722193.1,XM_006722194.1,XM_006722195.1,XM_006722196.1,XM_006722197.1	508.97	256.00	247.79	270.00	418.00	277.00	547.00	587.00	342.00	246.00	229.00	476.00
AATK-AS1	rna71585	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
ABAT	NM_000663.4,NM_001127448.1,NM_020686.5,XM_005255154.1	169.00	48.00	121.00	90.00	157.00	76.00	303.00	143.00	168.00	76.00	149.00	211.00
ABCA1	NM_005502.3,XM_005251773.1,XM_005251774.2,XM_005251776.1,XM_005251778.1,XM_005251780.2,XM_006716995.1	296.00	163.00	247.00	384.00	223.00	161.00	685.00	652.00	167.00	192.00	362.00	915.00
ABCA10	NM_080282.3	5.00	2.00	4.00	3.00	4.00	3.00	5.00	6.00	5.00	4.00	0.00	7.00
ABCA11P	rna20078	109.00	74.00	120.63	117.00	80.06	66.00	145.00	169.23	74.00	101.23	93.00	182.60
ABCA12	NM_015657.3,NM_173076.2,rna13861	0.00	0.00	1.00	2.00	0.00	0.00	1.00	4.00	0.00	0.00	0.00	10.00
ABCA13	NM_152701.3	0.00	0.00	0.00	0.00	1.00	0.00	5.00	3.00	0.00	0.00	2.00	0.00
ABCA17P	rna63657	8.00	4.00	3.00	1.00	5.00	3.00	6.00	2.00	8.00	3.00	2.00	3.00
ABCA2	NM_001606.4,NM_212533.2,XM_006716996.1	1366.00	793.00	1035.00	1167.00	1645.00	976.00	2482.00	2584.00	1064.00	899.00	1005.00	2324.00
ABCA3	NM_001089.2	2274.00	1103.00	1286.00	1198.00	2325.00	1185.00	2747.00	2535.00	1595.00	1216.00	1306.00	2863.00
ABCA4	NM_000350.2	1.00	4.00	13.00	7.00	1.00	2.00	35.00	13.00	1.00	5.00	23.00	18.00
ABCA5	NM_018672.4,NM_172232.3	259.00	199.00	192.00	240.00	290.00	218.00	333.00	355.00	215.00	230.00	173.00	391.00
ABCA6	NM_080284.2,XM_006721790.1,XM_006721791.1,XM_006721792.1,XM_006721793.1,rna70843	4.00	2.00	2.00	4.00	4.00	2.00	3.00	3.00	1.00	1.00	4.00	2.00
ABCA7	NM_019112.3,XM_006722616.1,XM_006722617.1,XM_006722618.1,rna73373	514.00	262.00	614.00	746.00	505.00	362.00	1314.00	1298.00	349.00	360.00	519.00	1365.00
ABCA8	NM_001288985.1,NM_001288986.1,NM_007168.3,XM_005256938.1,XM_005256940.2,rna70830	5.00	3.00	12.00	2.00	3.00	2.00	23.00	9.00	2.00	3.00	9.00	11.00
ABCA9	NM_080283.3,XM_005256934.2,XM_005256935.2,XM_005256936.2,XM_005256937.2,XM_006721633.1,XM_006721634.1	0.00	1.00	0.00	0.00	1.00	1.00	3.00	1.00	0.00	1.00	2.00	3.00
ABCB1	NM_000927.4	14.00	1.00	10.00	4.00	5.00	1.00	13.00	13.00	7.00	5.00	8.84	17.00
ABCB10	NM_012089.2,XM_006711754.1,XM_006711755.1	362.00	246.00	221.00	214.00	292.00	284.00	460.00	393.00	252.00	283.00	217.00	412.00
ABCB11	NM_003742.2,XM_006712817.1,XM_006712818.1	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCB4	NM_000443.3,NM_018849.2,NM_018850.2	2.00	1.00	1.00	2.00	4.00	1.00	3.00	1.00	0.00	0.00	2.16	4.00
ABCB5	NM_001163941.1,NM_001163942.1,NM_001163993.2,NM_178559.5,XM_006715722.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCB6	NM_005689.2	201.00	96.00	146.00	129.00	248.00	119.00	346.00	277.00	154.00	118.00	148.00	241.00
ABCB7	NM_001271696.1,NM_001271697.1,NM_001271698.1,NM_001271699.1,NM_004299.4	237.00	168.00	224.00	172.00	193.00	247.00	428.00	320.00	163.00	291.00	175.00	368.00
ABCB8	NM_001282291.1,NM_001282292.1,NM_001282293.1,NM_007188.4	475.00	317.00	391.00	325.00	428.00	352.00	801.00	741.00	374.00	337.00	333.00	761.00
ABCB9	NM_001243013.1,NM_001243014.1,NM_019624.3,NM_019625.3,NM_203444.3,XM_005253558.1,XM_005253559.1,XM_006719314.1,rna55477	48.00	34.00	28.00	18.00	47.00	40.00	64.00	56.00	26.00	36.00	21.00	50.00
ABCC1	NM_004996.3,XM_005255327.1,XM_005255328.1,XM_005255329.1,XM_006720884.1,XM_006720885.1	1515.00	772.00	555.00	669.00	1556.00	887.00	1092.00	1409.00	1102.00	924.00	534.00	1490.00
ABCC10	NM_001198934.1,NM_033450.2,XM_005249470.1,XM_006715240.1	270.00	178.00	235.00	266.00	264.00	204.00	517.00	461.00	181.00	209.00	204.00	521.00
ABCC11	NM_032583.3,NM_033151.3,NM_145186.2	0.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
ABCC12	NM_033226.2	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
ABCC13	rna80997,rna80998	2.00	5.00	14.00	13.00	1.00	5.00	40.00	30.00	0.00	12.00	18.00	50.00
ABCC2	NM_000392.3,XM_006717630.1,XM_006717631.1	8.00	7.00	10.00	9.00	2.00	3.00	6.00	8.00	9.00	9.00	4.00	7.00
ABCC3	NM_001144070.1,NM_003786.3,XM_005257763.1	771.00	113.00	1756.00	1661.00	759.00	126.00	4207.00	3151.00	503.00	94.00	2153.00	2626.00
ABCC4	NM_001105515.1,NM_005845.3,XM_005254025.1,XM_006719914.1	1165.00	955.00	1710.00	5696.00	1046.00	1079.00	3398.00	9939.00	874.00	1079.00	1763.00	9933.00
ABCC5	NM_001023587.1,NM_005688.2,XM_005247058.2,XM_005247059.2	674.00	352.00	488.00	470.00	644.00	451.00	976.00	931.00	504.00	456.00	472.00	915.00
ABCC5-AS1	rna19542	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCC6	NM_001079528.3,NM_001171.5	65.29	55.77	23.76	25.67	63.05	69.80	37.32	56.75	44.32	47.74	12.00	52.00
ABCC6P1	rna64358	14.80	2.23	1.24	2.33	22.17	2.20	4.58	2.25	13.71	1.26	0.00	0.00
ABCC6P2	rna64232	4.91	0.00	0.00	0.00	4.78	0.00	1.10	0.00	5.98	0.00	1.00	0.00
ABCC8	NM_000352.4,NM_001287174.1,XM_006718286.1	2.00	0.00	2.00	1.00	2.00	0.00	4.00	1.00	4.00	0.00	5.00	1.00
ABCC9	NM_005691.3,NM_020297.3,XM_005253284.2,XM_005253286.2,XM_005253287.2,XM_005253288.2,XM_005253289.2,XM_005253290.2,XM_005253291.2,XM_006719025.1	28.00	14.00	93.00	40.00	20.00	16.00	154.00	66.00	15.51	20.00	85.00	68.00
ABCD1	NM_000033.3	145.00	59.00	97.00	135.00	145.00	78.00	221.00	295.00	107.00	57.00	125.00	298.00
ABCD2	NM_005164.3	0.00	0.00	1.00	0.00	2.00	0.00	1.00	1.00	0.00	1.00	0.00	0.00
ABCD3	NM_001122674.1,NM_002858.3,XM_005271088.1,XM_005271089.1,XM_006710802.1	526.00	770.00	850.00	607.00	447.00	885.00	1478.00	1104.00	384.00	951.00	659.00	1304.00
ABCD4	NM_005050.3,XM_005267936.2,XM_005267938.2,XM_005267939.2,XM_005267940.2,XM_005267941.2,XM_005267942.2,XM_005267946.2,XM_005267949.2,XM_005267951.2,XM_005267952.2,XM_005267953.2,XM_005267954.2,XM_006720223.1,rna59104,rna59106	297.00	99.00	164.00	203.00	294.00	127.00	383.00	352.00	242.00	125.00	166.00	386.00
ABCE1	NM_001040876.1,NM_002940.2	807.00	598.00	818.00	658.00	674.00	640.00	1611.00	994.00	604.00	715.91	799.00	1370.00
ABCF1	NM_001025091.1,NM_001090.2	1482.00	1030.00	1267.00	1230.00	1271.00	1247.00	2307.00	2210.00	1038.00	1280.00	1053.00	2921.00
ABCF2	NM_005692.4,NM_007189.2,XM_005249931.2,XM_006715824.1	809.00	567.00	721.00	713.00	729.00	702.00	1366.00	1256.00	609.00	704.00	636.00	1452.00
ABCF3	NM_018358.2	888.00	698.00	769.00	700.00	801.00	702.00	1449.00	1259.00	698.00	747.00	654.00	1336.00
ABCG1	NM_004915.3,NM_016818.2,NM_207174.1,NM_207627.1,NM_207628.1,NM_207629.1	1809.00	1983.00	1053.00	2193.00	1430.00	1795.00	1679.00	3575.00	1072.00	2018.00	616.00	2886.00
ABCG2	NM_001257386.1,NM_004827.2,XM_005263354.1,XM_005263355.1,XM_005263356.1	135.00	4.00	16.00	2.00	128.00	0.00	27.00	9.00	107.00	4.00	22.00	22.00
ABCG4	NM_001142505.1,NM_022169.4	117.00	83.00	22.00	63.00	117.00	109.00	40.00	124.00	93.00	91.00	19.00	110.00
ABCG5	NM_022436.2,XM_005264480.1,XM_005264481.1,XM_006712073.1,XM_006712074.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	1.00	0.00
ABCG8	NM_022437.2,XM_005264483.1,XM_006712075.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABHD1	NM_032604.3,rna9477,rna9478,rna9479	5.19	3.23	4.27	2.12	2.12	1.09	3.11	2.06	4.18	0.00	1.02	2.09
ABHD10	NM_001272069.1,NM_018394.3,rna17830,rna17831	244.00	161.00	210.00	109.00	275.00	201.00	412.00	291.00	195.00	200.00	174.00	289.00
ABHD11	NM_001145364.1,NM_148912.2,NM_148913.2,XM_006716143.1,XM_006716144.1,XM_006716145.1,rna33295,rna33297,rna33300	294.00	175.00	162.00	181.00	281.89	187.00	336.00	269.00	212.00	174.00	158.00	335.00
ABHD12	NM_001042472.2,NM_015600.4,XM_005260698.1,XM_005260699.2,XM_005260700.1	772.00	585.00	488.00	457.00	763.00	671.00	938.00	865.00	521.00	629.00	400.00	967.00
ABHD12B	NM_001206673.1,NM_181814.1,XM_005267356.1,XM_005267357.1,XM_006720052.1	4.00	1.00	3.00	7.00	2.00	3.00	5.00	7.00	4.00	2.00	1.00	12.00
ABHD13	NM_032859.2	236.00	144.00	227.00	198.00	197.00	216.00	424.00	332.00	155.00	182.00	215.00	409.00
ABHD14A	NM_015407.4	93.00	54.13	46.00	37.00	124.00	70.00	107.00	91.84	77.35	54.90	55.00	100.00
ABHD14A-ACY1	rna16873	0.00	4.74	0.00	0.00	0.00	0.00	0.00	6.50	8.15	7.83	0.00	0.00
ABHD14B	NM_001146314.1,NM_001254753.1,NM_032750.2	479.00	203.00	269.00	244.00	545.00	251.00	544.00	411.00	389.00	199.00	247.00	341.00
ABHD15	NM_198147.2	323.00	147.00	114.00	154.00	310.00	191.00	282.00	308.00	252.00	182.00	106.00	324.00
ABHD16A	NM_001177515.1,NM_021160.2,rna28501,rna28504	504.00	263.00	317.00	364.00	420.00	284.00	653.00	701.00	386.00	288.00	289.00	802.00
ABHD16B	NM_080622.3	38.00	35.00	34.00	41.00	52.00	31.00	89.00	64.00	38.00	20.00	29.00	74.00
ABHD17A	NM_001130111.1,NM_031213.3,XM_006722918.1	608.00	403.00	421.00	370.00	654.00	485.00	947.00	781.00	487.00	446.00	368.00	748.00
ABHD17B	NM_001025780.1,NM_016014.2,XM_006717134.1,XM_006717135.1	395.00	224.00	215.00	221.00	392.00	263.00	458.00	461.00	338.00	254.00	203.00	447.00
ABHD17C	NM_021214.1	71.00	30.00	95.00	72.00	90.00	41.00	217.00	92.00	60.00	34.00	92.00	130.00
ABHD2	NM_007011.7,NM_152924.4,XM_005254832.1,XM_005254833.1	694.49	431.72	994.74	734.32	651.83	472.62	2086.14	1418.42	513.28	549.46	956.57	1664.61
ABHD3	NM_138340.4,rna72234,rna72235	259.00	114.00	154.00	139.00	231.00	142.00	324.00	228.00	205.00	152.00	154.00	300.00
ABHD4	NM_022060.2,XM_005267986.2,rna57694	1116.00	517.00	936.00	781.00	1218.00	741.00	1922.00	1602.00	764.00	626.00	900.00	1533.00
ABHD5	NM_016006.4	498.00	329.00	551.00	379.00	436.00	352.00	933.00	650.00	373.00	372.00	506.00	814.00
ABHD6	NM_020676.5,XM_005265334.2,XM_005265335.2,XM_005265336.2	146.00	115.00	160.00	138.00	169.00	128.00	249.00	230.00	102.00	133.00	109.00	252.00
ABHD8	NM_024527.4	564.00	408.00	354.00	408.00	561.00	497.00	650.00	708.00	445.00	429.00	272.00	766.00
ABI1	NM_001012750.2,NM_001012751.2,NM_001012752.2,NM_001178116.1,NM_001178119.1,NM_001178120.1,NM_001178121.1,NM_001178122.1,NM_001178123.1,NM_001178124.1,NM_001178125.1,NM_005470.3,XM_005252332.2,XM_005252333.2,XM_006717359.1,XM_006717360.1,XM_006717361.1	994.63	609.00	662.00	663.00	882.00	660.00	1241.51	1003.00	734.00	766.00	587.00	1361.00
ABI2	NM_001282925.1,NM_001282926.1,NM_001282927.1,NM_001282932.1,NM_005759.5,XM_005246217.1,XM_005246218.1,XM_005246221.1,XM_005246222.1,XM_005246223.1,XM_005246224.1,XM_005246225.1,XM_005246226.1,XM_005246229.1,XM_006712174.1,XM_006712175.1,XM_006712176.1,XM_006712177.1,XM_006712178.1,XM_006712179.1,XM_006712180.1,XM_006712181.1,XM_006712182.1,XM_006712183.1,XM_006712184.1,XM_006712185.1,XM_006712186.1	930.00	833.00	885.00	646.00	887.00	938.00	1742.00	1150.00	698.00	959.00	791.00	1194.00
ABI3	NM_001135186.1,NM_016428.2,XM_005257429.2	40.00	28.00	43.00	31.00	37.00	30.00	93.00	55.00	24.00	33.00	42.00	58.00
ABI3BP	NM_015429.3,XM_005247281.1,XM_005247282.1,XM_005247283.1,XM_005247284.1,XM_005247285.1,XM_005247286.1,XM_005247287.1,XM_005247288.1,XM_005247289.1,XM_005247290.1,XM_005247291.1,XM_005247293.1,XM_005247294.1,XM_005247295.1,XM_005247296.1,XM_005247297.1,XM_005247298.1,XM_005247299.1,XM_005247300.1,XM_005247301.1,XM_005247302.1,XM_005247303.1,XM_005247305.1,XM_005247306.1,XM_005247307.1,XM_005247308.1,XM_005247309.1,XM_005247310.1,XM_005247311.1,XM_005247312.1,XM_005247313.1,XM_005247314.1,XM_005247315.1,XM_005247316.1,XM_005247317.1,XM_005247318.1,XM_006713568.1,XM_006713569.1,XM_006713570.1,XM_006713571.1,XM_006713572.1,XM_006713573.1,XM_006713574.1,XM_006713575.1,XM_006713576.1	17.00	10.00	57.00	12.00	23.00	6.00	162.00	22.00	11.00	7.00	95.00	26.00
ABL1	NM_005157.4,NM_007313.2	2112.00	1090.00	1303.00	1426.00	2101.00	1189.00	2929.00	2697.00	1565.00	1165.00	1462.00	3381.00
ABL2	NM_001136000.2,NM_001136001.1,NM_001168236.1,NM_001168237.1,NM_001168238.1,NM_001168239.1,NM_005158.4,NM_007314.3,XM_005245088.1	491.00	278.00	460.00	361.00	429.00	312.00	893.00	562.00	346.00	321.00	411.00	719.00
ABLIM1	NM_001003407.1,NM_001003408.1,NM_002313.5,NM_006720.3,XM_005269818.1,XM_005269819.1,XM_005269820.1,XM_005269821.1,XM_005269822.1,XM_005269823.1,XM_005269824.1,XM_005269825.1,XM_005269826.1,XM_005269827.2,XM_005269828.2,XM_005269830.2,XM_006717837.1,XM_006717838.1,XM_006717839.1,XM_006717840.1,XM_006717841.1,XM_006717842.1,XM_006717843.1,XM_006717844.1,XM_006717845.1,XM_006717846.1,XM_006717847.1,XM_006717848.1	2534.00	1179.00	1140.00	611.00	2501.00	1307.00	2364.00	1325.00	1701.00	1412.00	1058.00	1415.00
ABLIM2	NM_001130083.1,NM_001130084.1,NM_001130085.1,NM_001130086.1,NM_001130087.1,NM_001130088.1,NM_001286688.1,NM_032432.4,XM_005248014.2,XM_005248015.1,XM_005248016.2,XM_005248017.2,XM_005248018.2,XM_005248019.2,XM_005248020.2,XM_005248021.2,XM_005248022.2,XM_005248023.2,XM_005248024.2,XM_005248025.2,XM_005248026.2,XM_005248027.2,XM_005248028.2,XM_005248029.2,XM_005248030.2,XM_005248031.2,XM_006713921.1,XM_006713922.1,XM_006713923.1,XM_006713924.1,XM_006713925.1,XM_006713926.1,XM_006713927.1	76.00	26.00	27.00	29.00	60.00	36.00	60.00	52.00	62.00	25.00	38.00	83.00
ABLIM3	NM_014945.2,XM_005268392.1,XM_005268393.1,XM_005268394.1,XM_005268395.1,XM_005268396.1,XM_006714763.1,XM_006714764.1	1482.00	580.00	776.00	740.00	1990.00	791.00	1754.00	1591.00	1111.00	737.00	845.00	1752.00
ABO	NM_020469.2	229.00	31.00	23.00	89.00	214.00	50.00	42.00	182.00	192.00	33.00	15.00	171.00
ABR	NM_001092.4,NM_001159746.2,NM_001256847.2,NM_001282149.1,NM_021962.4,XM_006721506.1,XM_006721507.1,XM_006721508.1,XM_006721509.1,XM_006721510.1,XM_006721511.1,XM_006721512.1	1710.00	1026.00	1451.00	1463.00	1451.00	1074.00	3024.00	2716.00	1235.00	1195.00	1428.00	3436.00
ABRA	NM_139166.4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00
ABRACL	NM_021243.2	186.00	71.00	145.00	217.00	169.00	101.00	386.00	340.00	141.00	109.00	208.00	424.00
ABT1	NM_013375.3	262.00	164.00	178.00	216.00	267.00	189.00	387.00	393.00	159.00	203.00	186.00	402.00
ABTB1	NM_032548.3,NM_172027.2,XM_006713768.1,XM_006713769.1,XM_006713770.1,XM_006713771.1,XM_006713772.1,rna18353	518.00	208.00	239.00	228.00	483.00	295.00	545.00	447.00	358.00	271.00	229.00	416.00
ABTB2	NM_145804.2	47.00	14.00	37.00	94.00	57.00	26.00	89.00	193.00	54.00	24.00	44.00	276.93
AC000099.1	rna34708,rna34709	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AC000124.1	rna34716	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AC002116.7	rna75736	1.00	0.00	0.00	0.00	0.00	1.00	3.00	1.00	0.00	1.00	0.00	0.00
AC002398.5	rna75699	6.00	0.00	3.00	8.00	3.00	0.00	5.00	13.00	1.00	0.00	0.00	17.00
AC002454.1	rna33732,rna33733,rna33734	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	1.00	0.00
AC002463.3	rna34512	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AC002480.3	rna32183	0.00	1.00	1.00	0.00	1.00	0.00	8.00	1.00	1.00	0.00	3.00	0.00
AC002511.1	rna75594	1.00	0.00	0.00	1.00	2.00	0.00	1.00	0.00	1.00	1.00	0.00	0.00
AC003051.1	rna70858,rna70859	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AC003102.3	rna69559	61.00	2.00	9.00	7.00	60.00	3.00	13.00	14.00	55.00	1.00	6.00	24.00
AC003665.1	rna69876,rna69877	5.00	8.00	5.00	5.00	10.00	7.00	10.00	7.00	11.00	8.00	4.00	10.00
AC003958.2	rna69186	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AC003984.1	rna33547,rna33548	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AC004019.13	NM_001288707.1	0.00	0.00	1.04	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	2.00
AC004053.1	rna22160	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AC004603.4	rna76412	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AC004862.6	rna33505	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AC004893.11	rna33873	13.27	10.18	40.76	13.31	20.41	13.28	75.48	29.53	14.29	14.31	24.46	45.90
AC005022.1	rna32647	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AC005029.1	rna32646	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AC005062.2	rna32145	0.00	0.00	0.00	2.11	0.00	0.00	0.00	1.04	0.00	0.00	1.00	2.00
AC005235.1	rna13328	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AC005264.2	rna73600	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00
AC005358.3	rna67784	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AC005550.4	rna32083	1.00	0.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	1.00	0.00
AC005592.2	rna26102	0.00	1.00	1.00	4.00	1.00	2.00	4.00	5.00	1.00	1.00	1.00	7.00
AC005594.3	NM_001242901.1	3.40	1.41	1.26	4.13	1.29	1.17	5.45	6.22	1.13	1.08	3.35	5.81
AC006004.1	rna35311	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AC006145.4	rna33534,rna33535	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AC006196.1	rna13259	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AC006262.5	rna76760	1.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00
AC006272.1	rna77590	1.00	3.00	1.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
AC006372.4	rna35652	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00
AC007038.7	rna13796	4.00	5.00	5.00	1.00	4.00	1.00	7.00	4.00	0.00	2.00	5.00	5.00
AC007040.7	rna10498,rna10499	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AC007099.1	rna10721	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AC007131.1	rna10218	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
